inputID,address,confidence,matchType,accuracy,latitude,longitude
430289,"""92 SARAH ASHBRIDGE AVE",1,undefined,point,43.666963,-79.309046
430288,"""116 KILBARRY RD",1,undefined,point,43.693952,-79.410406
430291,"""38 KINGS LYNN RD",1,undefined,point,43.651748,-79.505704
430287,"""44 BALSAM AVE",1,undefined,point,43.671274,-79.289949
430290,"""40 BAYVIEW RIDGE",0.8,undefined,point,43.7422734,-79.3882182
430292,"""26 HARSHAW AVE",1,undefined,point,43.655279,-79.488536
430296,"""137 STRATHALLAN BLVD",1,undefined,point,43.713306,-79.418664
430293,"""621 KING ST W",1,undefined,point,44.221093,-76.516388
430298,"""891 MORNINGSIDE AVE",1,undefined,point,43.792976,-79.195354
430297,"""115 BLACK CREEK DR",1,undefined,point,43.687837,-79.482014
430294,"""621 KING ST W",1,undefined,point,44.221093,-76.516388
430299,"""14 ST IVES AVE",1,undefined,point,43.724174,-79.389749
430300,"""6 ELM AVE",1,undefined,point,50.087163,-96.661755
430295,"""621 KING ST W",1,undefined,point,44.221093,-76.516388
430303,"""1 DOUGLAS DR",1,undefined,point,44.157791,-79.841044
430302,"""2621 LAKE SHORE BLVD W",1,undefined,point,43.604693,-79.491049
430301,"""6 ELM AVE",1,undefined,point,50.087163,-96.661755
430305,"""2 STRACHAN AVE",1,undefined,point,43.634895,-79.409404
430304,"""2175 LAKE SHORE BLVD W",1,undefined,point,43.624235,-79.480097
430310,"""39 STRATHALLAN BLVD",1,undefined,point,43.714348,-79.413741
430306,"""2 STRACHAN AVE",1,undefined,point,43.634895,-79.409404
430308,"""5 HILLDOWNTREE RD",1,undefined,point,43.660809,-79.525437
430309,"""2613 LAKE SHORE BLVD W",1,undefined,point,43.605257,-79.490762
430311,"""130 BLOOR ST W",1,undefined,point,43.669203,-79.392799
430307,"""2 STRACHAN AVE",1,undefined,point,43.634895,-79.409404
430313,"""71 OTTER CRES",1,undefined,point,43.719077,-79.419788
430312,"""18 NORCROSS RD",1,undefined,point,43.751533,-79.453023
430314,"""34 BURTON RD",1,undefined,point,43.692918,-79.418788
430316,"""6000 LESLIE ST",1,undefined,point,43.800104,-79.371262
430317,"""48 ARJAY CRES",1,undefined,point,43.737436,-79.384121
430319,"""205 GLENAYR RD",1,undefined,point,43.694952,-79.418851
430318,"""144 SOUTH DR",1,undefined,point,43.677843,-79.374455
430320,"""100 THOMPSON AVE",1,undefined,point,43.642263,-79.513023
430321,"""100 THOMPSON AVE",1,undefined,point,43.642263,-79.513023
430325,"""10 ARJAY CRES",1,undefined,point,43.735729,-79.383258
430322,"""100 THOMPSON AVE",1,undefined,point,43.642263,-79.513023
430326,"""147 RIDLEY BLVD",1,undefined,point,43.737851,-79.416403
430327,"""320 HURON ST",1,undefined,point,43.662912,-79.40043
430323,"""100 THOMPSON AVE",1,undefined,point,43.642263,-79.513023
430328,"""20 LAUSANNE CRES",1,undefined,point,43.7545,-79.189509
430329,"""12 DARLINGBROOK CRES",1,undefined,point,43.671332,-79.523605
430330,"""6 RIDGEFIELD RD",1,undefined,point,43.71958,-79.383448
430332,"""45 MACPHERSON AVE",1,undefined,point,43.678643,-79.391767
430324,"""100 THOMPSON AVE",1,undefined,point,43.642263,-79.513023
430333,"""1 AUSTIN TER",1,undefined,point,43.678122,-79.409527
430331,"""49 NORTHWOOD DR",1,undefined,point,44.473569,-80.070055
430335,"""119 STRATFORD CRES",1,undefined,point,43.720844,-79.382713
430336,"""140 ANTIBES DR",1,undefined,point,43.781155,-79.446977
430340,"""49 MAYALL AVE",1,undefined,point,43.725711,-79.517979
430338,"""51 ANEWEN DR",1,undefined,point,43.733614,-79.313673
430337,"""252 SPRING GARDEN AVE",1,undefined,point,43.766844,-79.39976
430341,"""96 DREWRY AVE",1,undefined,point,43.786428,-79.421821
430339,"""52 KILLDEER CRES",1,undefined,point,43.717966,-79.363396
430345,"""15 DUNDONALD ST",1,undefined,point,43.154795,-79.202395
430343,"""2706 BAYVIEW AVE",1,undefined,point,43.75907,-79.386803
430344,"""88 KELSONIA AVE",1,undefined,point,43.713127,-79.24498
430342,"""89 CAINES AVE",1,undefined,point,43.784194,-79.435414
430346,"""118 HIGHBOURNE RD",1,undefined,point,43.701338,-79.406224
430347,"""19 LOIS AVE",1,undefined,point,43.711153,-79.447442
430348,"""265 YONGE BLVD",1,undefined,point,43.744412,-79.417052
430350,"""67 FLEMING CRES",1,undefined,point,43.71013,-79.37482
430349,"""22 YEWFIELD CRES",1,undefined,point,43.74976,-79.345333
430351,"""4190 BATHURST ST",1,undefined,point,43.748575,-79.437303
430353,"""27 SANDRINGHAM DR",1,undefined,point,44.360631,-79.621794
430356,"""16 STATLER AVE",1,undefined,point,43.637483,-79.545495
430354,"""20 FOREST RIDGE DR",1,undefined,point,43.70608,-79.428712
430355,"""144 RIDLEY BLVD",1,undefined,point,43.738349,-79.416111
430352,"""71 DE VERE GDNS",1,undefined,point,43.739977,-79.411734
430357,"""28 TRUE DAVIDSON DR",1,undefined,point,43.692106,-79.363934
430359,"""61 COCKBURN DR",1,undefined,point,43.785075,-79.14464
430358,"""2 YORKLEIGH AVE",1,undefined,point,43.696984,-79.522258
430361,"""281 SNOWDON AVE",1,undefined,point,43.733096,-79.393318
430360,"""552 CRANBROOKE AVE",1,undefined,point,43.724416,-79.427149
430362,"""215 VEROBEACH BLVD",1,undefined,point,43.738555,-79.546452
430364,"""33 CHARNWOOD RD",1,undefined,point,43.745582,-79.356044
430366,"""15 GOVERNORS RD",1,undefined,point,43.691407,-79.367277
430363,"""215 VEROBEACH BLVD",1,undefined,point,43.738555,-79.546452
430367,"""23 SHAWFIELD CRES",1,undefined,point,43.750544,-79.323871
430369,"""8 KINGSCOURT DR",1,undefined,point,43.650025,-79.502615
430368,"""11 LAKE PROMENADE",1,undefined,point,43.590491,-79.519712
430365,"""215 VEROBEACH BLVD",1,undefined,point,43.738555,-79.546452
430371,"""43 CHELTENHAM AVE",1,undefined,point,43.725078,-79.391667
430370,"""33 GREEN VALLEY RD",1,undefined,point,43.739578,-79.390016
430373,"""7 ARDMORE RD",1,undefined,point,43.694916,-79.415875
430372,"""94 LYNDHURST AVE",1,undefined,point,43.680088,-79.413046
430374,"""42 BLUE FOREST DR",1,undefined,point,43.767365,-79.454961
430377,"""21 TARDREE PL",1,undefined,point,43.756913,-79.301522
430375,"""760 GLENGROVE AVE",1,undefined,point,43.709521,-79.451283
430376,"""24 LONGWOOD DR",1,undefined,point,43.748577,-79.361252
430379,"""389 FAIRLAWN AVE",1,undefined,point,43.727434,-79.419012
430378,"""8 BRIEF RD",1,undefined,point,43.718356,-79.488202
